date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:31	5857/5857	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:31%20GMT	http://localhost/index.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/index.html	(from )
22:24:32	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Sep%202021%2020:24:31%20GMT	http://localhost/robots.txt		(from )
22:24:32	10236/10236	---M--	200	added ('OK')	image/png	etag:%2227fc-5112e35109400%22	http://localhost/img/smashlogo.png	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/smashlogo.png	(from http://localhost/index.php)
22:24:32	141746/141746	---M--	200	added ('OK')	text/css	etag:%22229b2-55347ffaf1140%22	http://localhost/lib/bootstrap/css/bootstrap.css	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/css/bootstrap.css	(from http://localhost/index.php)
22:24:34	20452/20452	---M--	200	added ('OK')	text/css	etag:%224fe4-5113ee61f2a80%22	http://localhost/lib/bootstrap/css/bootstrap-social.css	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/css/bootstrap-social.css	(from http://localhost/index.php)
22:24:34	28747/28747	---M--	200	added ('OK')	text/css	etag:%22704b-50d3d2535c400%22	http://localhost/lib/font-awesome/css/font-awesome.css	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/font-awesome/css/font-awesome.css	(from http://localhost/index.php)
22:24:36	2688/2688	---M--	200	added ('OK')	text/css	etag:%22a80-55616c6bb82c0%22	http://localhost/lib/custom.css	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/custom.css	(from http://localhost/index.php)
22:24:36	5867/5867	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:36%20GMT	http://localhost/om_dette_smash.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/om_dette_smash.html	(from http://localhost/index.php)
22:24:36	13394/13394	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:36%20GMT	http://localhost/program.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/program.html	(from http://localhost/index.php)
22:24:36	5499/5499	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:36%20GMT	http://localhost/fellesmusikk.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/fellesmusikk.html	(from http://localhost/index.php)
22:24:36	9780/9780	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:36%20GMT	http://localhost/praktisk_info.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/praktisk_info.html	(from http://localhost/index.php)
22:24:37	4548/4548	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:37%20GMT	http://localhost/statistikk.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/statistikk.html	(from http://localhost/index.php)
22:24:37	5429/5429	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:37%20GMT	http://localhost/kort_om_smash.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/kort_om_smash.html	(from http://localhost/index.php)
22:24:38	11897/11897	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:37%20GMT	http://localhost/1960tallet.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/1960tallet.html	(from http://localhost/index.php)
22:24:38	9319/9319	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:38%20GMT	http://localhost/1970tallet.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/1970tallet.html	(from http://localhost/index.php)
22:24:39	8809/8809	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:38%20GMT	http://localhost/1980tallet.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/1980tallet.html	(from http://localhost/index.php)
22:24:40	17784/17784	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:38%20GMT	http://localhost/1990tallet.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/1990tallet.html	(from http://localhost/index.php)
22:24:41	12888/12888	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:38%20GMT	http://localhost/2000tallet.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/2000tallet.html	(from http://localhost/index.php)
22:24:41	17597/17597	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:39%20GMT	http://localhost/2010tallet.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/2010tallet.html	(from http://localhost/index.php)
22:24:42	22898/22898	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:40%20GMT	http://localhost/bilder_buttons.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/bilder_buttons.html	(from http://localhost/index.php)
22:24:42	16997/16997	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:41%20GMT	http://localhost/bilder_fellesbilder.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/bilder_fellesbilder.html	(from http://localhost/index.php)
22:24:42	6686/6686	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:42%20GMT	http://localhost/styret.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/styret.html	(from http://localhost/index.php)
22:24:43	4812/4812	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:42%20GMT	http://localhost/faqs.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/faqs.html	(from http://localhost/index.php)
22:24:43	4370/4370	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:42%20GMT	http://localhost/kontakt.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/kontakt.html	(from http://localhost/index.php)
22:24:44	41713/41713	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Sep%202021%2020:24:41%20GMT	http://localhost/orchesterdex.php	C:/Users/Stian/Downloads/SMASH%202017/localhost/orchesterdex.html	(from http://localhost/index.php)
22:24:46	17231/17231	---M--	200	added ('OK')	image/png	etag:%22434f-5113e7c068580%22	http://localhost/img/program.png	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/program.png	(from http://localhost/index.php)
22:24:51	43526/43526	---M--	200	added ('OK')	image/png	etag:%22aa06-5113e9d85f600%22	http://localhost/img/info.png	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/info.png	(from http://localhost/index.php)
22:24:52	31818/31818	---M--	200	added ('OK')	application/javascript	etag:%227c4a-5048690fa3a00%22	http://localhost/lib/bootstrap/js/bootstrap.min.js	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/js/bootstrap.min.js	(from http://localhost/index.php)
22:24:53	1238/1238	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Sep%202021%2020:24:52%20GMT	http://localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.1e.delayed	(from http://localhost/lib/bootstrap/css/bootstrap.css)
22:24:54	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f6f-4fcbf7ba1d880%22	http://localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://localhost/lib/bootstrap/css/bootstrap.css)
22:24:56	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f6f-4fcbf7ba1d880%22	http://localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://localhost/lib/bootstrap/css/bootstrap.css)
22:24:58	23320/23320	---M--	200	added ('OK')	font/woff	etag:%225b18-4fcbf7ba1d880%22	http://localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://localhost/lib/bootstrap/css/bootstrap.css)
22:24:58	62927/62927	---M--	200	added ('OK')	image/svg+xml	etag:%22f5cf-4fcbf7ba1d880%22	http://localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://localhost/lib/bootstrap/css/bootstrap.css)
22:24:59	95992/95992	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/Users/Stian/Downloads/SMASH%202017/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://localhost/index.php)
22:25:02	117601/117601	---M--	200	added ('OK')	image/jpeg	etag:%221cb61-5113f6106ca00%22	http://localhost/img/musikk.jpg	C:/Users/Stian/Downloads/SMASH%202017/localhost/img/musikk.jpg	(from http://localhost/index.php)
22:25:03	41280/41280	---M--	200	added ('OK')	font/ttf	etag:%22a140-4fcbf7ba1d880%22	http://localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://localhost/lib/bootstrap/css/bootstrap.css)
22:25:08	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-50d3d2535c400%22	http://localhost/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.3.0	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/font-awesome/fonts/fontawesome-webfonte0a5.eot	(from http://localhost/lib/font-awesome/css/font-awesome.css)
22:25:09	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-50d3d2535c400%22	http://localhost/lib/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/Stian/Downloads/SMASH%202017/localhost/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://localhost/lib/font-awesome/css/font-awesome.css)
